,category,sub_category,crimeaditionalinfo
223,Online and Social Media Related Crime,Intimidating Email,I am receiving emails from an unknown person who is blackmailing me with personal information. They are demanding money. The email ID is blackmailingme456@gmail.com. Please take action against this.
628,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek suspicious link mila tha aur maine us par click kiya. Ab mera Instagram account hack ho gaya hai. Kripya madad karein.
1425,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek ladki mujhe Instagram par message kar rahi hai aur keh rahi hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
392,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek WhatsApp message aaya tha jisme bola gaya tha ki mujhe ek job offer mila hai. Unhone mere personal details maange, mujhe laga yeh scam hai."
1204,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email se contact kiya gaya tha jo mujhe ek fake job offer de raha tha. Maine unhe paise diye, par ab mujhe samajh aaya ki yeh sab fraud hai. Please meri madad karein."
678,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Sir, mujhe ek call aayi thi jisme bola gaya tha ki mera account block ho raha hai. Maine unki baatein maani aur ab mera account hack ho gaya hai. Please help."
358,Online and Social Media Related Crime,EMail Phishing,"Someone sent me a phishing email pretending to be from my university, asking for my student ID and personal details. I didn’t respond, but I’m concerned for my classmates."
911,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal information hai aur agar main paisa nahi doonga, toh wo sabko bata dega. Yeh bahut darawana hai!"
464,Online and Social Media Related Crime,Impersonating Email,"I got a suspicious email that looked like it was from my company's IT department. They asked for my login details. I didn’t provide anything, but I’m worried about others who might."
1212,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe investment karna hai. Maine unhe paise bheje, lekin ab unka contact band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain. Please madad karein."
420,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
399,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek call aayi thi jisme unhone bola ki wo meri bank se hain. Unhone mere personal details maange, mujhe laga yeh fraud hai."
527,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera laptop kisi ne hack kar liya hai. Ab main apne documents nahi dekh pa raha hoon. Mujhe bahut dikkat ho rahi hai, please help."
1028,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mere dost ko ek unknown number se call aaya aur usne usse gandi baatein ki. Usne mujhe bola ki ab voh mujhe bhi pareshan karega. Kripya madad karein.
846,Online Cyber Trafficking,Online Trafficking,Mujhe ek video call aayi thi jisme kisi ne meri video record ki aur ab mujhe paise ke liye blackmail kar raha hai. Main kya karun?
1091,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Kisi ne mujhe WhatsApp par message kiya hai, keh rahe hain agar maine unki baat nahi maani toh meri photos share kar denge. Main bahut pareshan hoon."
916,Cyber Terrorism,Cyber Terrorism,"Maine ek online course liya tha, lekin ab wo log mujhe har din paise dene ke liye keh rahe hain. Agar main nahi diya, toh wo mere contacts ko pareshan karenge. Kya karun?"
68,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Twitter par Ankit Verma naam ka user desh ke khilaf nafrat bhadka raha hai. Woh ek alag rashtra ki baat kar raha hai. Is par action lena zaroori hai.
568,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek email mila jisme bola gaya ki mere computer ko hack kiya gaya hai. Main bahut dar gaya hoon, please help me."
866,Online Cyber Trafficking,Online Trafficking,Mujhe ek fake job offer mila hai jisme unhone mere personal details maange hain. Ab wo mujhe paise bhejne ke liye keh rahe hain. Kya mujhe report karna chahiye?
1124,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe kisi ne call kiya aur bola ki mujhe EMI pay karna hai, jabki maine kabhi loan nahi liya. Mujhe lagta hai ki mera email id hack ho gaya hai. Kripya dekhein."
643,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Facebook account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
787,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, I was in contact with a girl on a matrimonial website who claimed to be in love with me. She asked for money for her medical expenses. I sent her Rs. 15,000, but now she has blocked me. Please take action."
1194,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe ek ajeeb email mila hai apne hi account se, aur mujhe lagta hai ki mera account hack ho gaya hai. Kripya meri madad karein isse recover karne mein."
1079,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I got a call from a stranger who started using bad language and threatened me. I don't know how they got my number. Please take action against this.
1253,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Dear Sir, I applied for a business loan online. They called me and asked for a fee to process my application. After I paid, they disappeared. Please help me recover my money."
1464,Child Pornography CPChild Sexual Abuse Material CSAM,,"Mujhe ek call aayi hai jismein koi meri private videos ko leak karne ki dhamki de raha hai. Main bahut anxious feel kar rahi hoon, isse resolve karne mein madad karein."
891,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe WhatsApp par message kiya aur bola ki unke paas meri private photos hain. Agar maine unhe paise nahi diye to wo unhe share karenge. Main bahut pareshan hoon!
532,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe kisi ne blackmail kiya hai. Usne meri personal photos aur videos ko leak karne ki dhamki di hai. Uska number ye hai: 9876543210. Kripya is par action lein."
1070,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Mujhe ek ladki ka video call aaya, jisme wo mujhe blackmail kar rahi thi. Maine call band kar diya, lekin ab wo naye number se mujhe pareshan kar rahi hai."
380,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email aayi thi jo Amazon se lag rahi thi, unhone mere login details maange. Maine kuch nahi diya, par mujhe lagta hai ki meri information khatre mein hai."
899,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe call kiya aur bola ki unke paas meri private photos hain. Agar maine unhe paise nahi diye to wo unhe share karenge. Main bahut pareshan hoon!
778,Online and Social Media Related Crime,Online Matrimonial Fraud,"I met a girl named Sita on a matrimony site. After a few days, she asked for money to help her with a loan. I transferred Rs. 17,000, but now I think it was a scam. Please help me recover my money."
1480,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe Instagram par harass kar raha hai, keh raha hai ki uske paas meri private pictures hain. Woh paisa maang raha hai mujhe blackmail karne ke liye. Help chahiye."
1217,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek company ne mujhe email kiya tha ki mujhe unke saath business karna hai. Maine unhe paise bheje, lekin ab unka email band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain."
468,Online and Social Media Related Crime,Impersonating Email,"I got an email from a fake account pretending to be my colleague. They asked for my bank details for a project. I didn’t share anything, but I want to report this."
39,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I came across a blog post by a user named Rahul Verma that is spreading false information about our government and its policies. This is against the interest of our nation. Please investigate this.
513,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera computer ek virus se affect ho gaya hai. Ab main apne files aur photos access nahi kar pa raha hoon. Mujhe help chahiye, please meri madad karein."
1421,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek website mili jisme underage girls ki explicit images hain. Yeh bahut disturbing hai aur main chahti hoon ki aap is par action lein.
1492,Child Pornography CPChild Sexual Abuse Material CSAM,,"An unknown person is harassing me on WhatsApp, asking for nude pictures and threatening to share my private information. I am scared and need help."
1203,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek WhatsApp message aaya tha jismein bola gaya tha ki mujhe ek online business mein invest karna hai. Maine paise bheje, par ab unka koi response nahi aa raha. Yeh log bahut dhokebaaz hain."
1071,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Kisi ne mujhe WhatsApp par message kiya hai, keh rahe hain agar maine unki baat nahi maani toh meri photos share kar denge. Main bahut pareshan hoon."
1359,Online Gambling  Betting,Online Gambling  Betting,I lost ₹3000 in an online gambling app. They promised quick returns but now they are not responding. Please help me recover my money!
188,Ransomware,Ransomware,"Mujhe ek suspicious link par click karne se ransomware ka attack hua. Ab sab files lock ho gayi hain aur hackers mujhe ransom dene ke liye keh rahe hain. Main bahut worried hoon, please help."
1487,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe social media par harass kar raha hai, keh raha hai ki uske paas meri private photos hain. Woh paisa maang raha hai, mujhe isse rokne mein madad chahiye."
1133,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email id kisi ne hack kar diya hai aur ab mujhe uska access nahi mil raha. Mera bank account bhi is email se linked hai. Main bahut pareshan hoon, please help."
1347,Online Gambling  Betting,Online Gambling  Betting,"Ek aadmi mujhe call karke keh raha tha ki agar main unhe paise doon toh mujhe double milenge. Maine unki baatein maani aur paise bheje, ab mujhe samajh aaya ki yeh scam hai."
1189,Hacking  Damage to computercomputer system etc,Email Hacking,"My email ID was hacked, and now I am receiving threatening messages from someone. They claim to have my personal information. I need urgent help to resolve this issue."
506,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek app se loan mila tha, ab wo log mujhe har waqt paise chukane ke liye pareshan kar rahe hain. Unhone meri saari personal information le li hai. Kripya kuch karein."
1122,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe pata chala ki mera email id kisi ne use karke fake account banaya hai. Maine Instagram se email dekha tha. Mera personal data ab kisi ke paas hai, mujhe dar hai ki wo misuse karega."
507,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera laptop kisi ne hack kar liya hai. Ab main apne documents nahi dekh pa raha hoon. Mujhe bahut dikkat ho rahi hai, please help."
746,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Cyber Cell, I met a girl on a matrimony app who claimed to be from Mumbai. After a few days, she asked me to send money for her medical emergency. I sent her Rs 20,000, but now she is not responding. Please take action against her."
1116,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe ek email aayi thi jismein bola gaya ki mera account hack ho gaya hai. Maine password change kiya lekin phir bhi mujhe emails mil rahe hain. Kripya dekhein is par.
665,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Twitter account kisi ne hack kar diya hai. Maine ek link pe click kiya tha aur ab mera account lock ho gaya hai. Kripya meri madad karein.
749,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, I was searching for a life partner on a matrimony website and got in touch with a girl named Neelam. She asked for money to help her with a loan. I sent her Rs 30,000, but now she is unreachable. Please help."
770,Online and Social Media Related Crime,Online Matrimonial Fraud,"Mujhe ek matrimony site par ek ladki mili thi, uska naam Kavita tha. Usne mujhe bola ki usse kuch paise chahiye apne ghar ke liye. Maine 18,000 bheje, ab wo mujhe ignore kar rahi hai. Kripya meri madad karein."
585,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"I clicked on a link from a message, and now my computer is infected with a virus. I can't access my files anymore. Please help me fix this."
320,Online and Social Media Related Crime,EMail Phishing,"I got an email that seems to be from my bank, asking me to reset my password. I didn’t click the link, but I’m worried it might be a phishing attempt."
556,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"I think my phone has been hacked. I noticed some apps I didn't install, and my personal data is being misused. I need immediate help from cybercrime."
454,Online and Social Media Related Crime,Impersonating Email,"I was contacted via email by someone pretending to be my colleague. They asked me to send money for an urgent task. I didn’t send anything, but I want to report this incident."
812,Online Cyber Trafficking,Online Trafficking,Mujhe ek SMS aaya tha jisme bola gaya ki mujhe apne UPI ID ko verify karna hai. Main isse lekar bahut pareshan hoon.
637,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mera YouTube account hack ho gaya hai. Kisi ne mere videos ko delete kar diya hai. Main bahut pareshan hoon, please help."
806,Online Cyber Trafficking,Online Trafficking,Mujhe ek call aayi thi jisme kisi ne kaha ki mera bank account block hone wala hai. Unhone mujhe apne details dene ko bola. Main bahut confused hoon.
940,Cyber Terrorism,Cyber Terrorism,"Maine ek online course liya tha, lekin ab wo log mujhe har din paise dene ke liye keh rahe hain. Agar main nahi diya, toh wo mere contacts ko pareshan karenge. Kya karun?"
1499,Child Pornography CPChild Sexual Abuse Material CSAM,,"Maine ek Facebook account dekha jo bachon ki explicit images share kar raha hai. Yeh report karna chahiye, please is par action lo."
119,Ransomware,Ransomware,"Mere laptop par ek ransomware virus aaya hai, sabhi files ab .encrypted format mein hain. Mujhe bahut zaroori data chahiye, lekin main unhe access nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
845,Online Cyber Trafficking,Online Trafficking,"Kisi ne mujhe WhatsApp par message karke kaha ki wo mujhe ek loan offer kar raha hai, lekin mujhe pehle fees deni padegi. Main isse lekar bahut chintit hoon."
1163,Hacking  Damage to computercomputer system etc,Email Hacking,"Kisi ne meri email ID se fraud kiya hai. Mujhe kuch samajh nahi aa raha hai ki kya karun. Kripya meri madad karein, mujhe bahut pareshani ho rahi hai."
448,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
834,Online Cyber Trafficking,Online Trafficking,Mujhe ek SMS aaya tha jisme bola gaya ki mujhe apne UPI ID ko verify karna hai. Main isse lekar bahut pareshan hoon.
864,Online Cyber Trafficking,Online Trafficking,"Mujhe ek SMS aaya tha jisme bola gaya ki mujhe apne account ko verify karna hai. Maine link nahi khola, par ab wo mujhe dhamki de rahe hain. Kya karna chahiye?"
27,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I saw a TikTok video where a user named Priya Verma is mocking our national flag and encouraging others to do the same. This is disrespectful and harmful to our country's image. Please take action against such content.
705,Online and Social Media Related Crime,Online Matrimonial Fraud,"I received a message from a girl on a matrimonial site who seemed very nice. After a few days, she asked for money to pay for her education. I sent her Rs 10,000, but now I feel cheated. Please take action against her."
467,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek WhatsApp message aaya tha jisme kisi ne mere boss ka naam use kiya tha. Usne mujhe bola ki mujhe paise bhejne hain. Maine kuch nahi kiya, lekin mujhe dar hai ki ye aur logon ke saath ho raha hoga."
632,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Facebook account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
765,Online and Social Media Related Crime,Online Matrimonial Fraud,"I was chatting with a girl on a matrimonial site named Meera. She asked me for money to help her with a family issue. I sent her Rs. 8,000, but now she is not responding. I feel like I’ve been scammed."
1195,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID kisi ne hack kar liya hai, aur ab mujhe access nahi mil raha. Mujhe dar hai ki mere personal details kisi aur ke paas hain. Kripya madad karein."
570,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"I clicked on a link from a message, and now my computer is infected with a virus. I can't access my files anymore. Please help me fix this."
81,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I found a post on WhatsApp where someone is sharing fake news about our military operations. This misinformation can harm our national security. Please take action against this unlawful content.
1148,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe kisi ne call kiya aur bola ki mujhe EMI pay karna hai, jabki maine kabhi loan nahi liya. Mujhe lagta hai ki mera email id hack ho gaya hai. Kripya dekhein."
1493,Child Pornography CPChild Sexual Abuse Material CSAM,,"I stumbled upon a link in a Telegram group that led to explicit content involving children. This is unacceptable, and I want to report it immediately."
1048,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek unknown number se baar baar call aa raha hai aur voh mujhe gandi galiyaan de raha hai. Maine unhe block kar diya hai lekin phir bhi naye numbers se call aa rahe hain. Kripya meri madad karein.
1111,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email account hack ho gaya hai aur mujhe har din naye spam calls aa rahe hain. Main bahut pareshan hoon, please meri madad karein."
290,Online and Social Media Related Crime,Intimidating Email,I have been receiving emails from someone who is threatening to expose my private life unless I pay them money. I am really scared and need help to stop this.
773,Online and Social Media Related Crime,Online Matrimonial Fraud,"Ek ladki ne mujhe matrimony app par contact kiya, uska naam Riya tha. Usne bola ki usse kuch paise chahiye apne ghar ke kharch ke liye. Maine 12,000 bheje, ab mujhe lagta hai ki ye fraud hai. Kripya dekhein."
1271,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, I got a call from someone pretending to be a loan agent. They asked for a fee to process my application. After I paid, they disappeared. Please help me recover my money."
677,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera website kisi ne hack kar diya hai aur us par galat information daal di hai. Mujhe iski madad chahiye.
948,Cyber Terrorism,Cyber Terrorism,"Maine ek online course liya tha, lekin ab wo log mujhe har din paise dene ke liye keh rahe hain. Agar main nahi diya, toh wo mere contacts ko pareshan karenge. Kya karun?"
618,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera email account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
1112,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe kisi ne call kiya aur bola ki mujhe EMI pay karna hai, jabki maine kabhi loan nahi liya. Mujhe lagta hai ki mera email id hack ho gaya hai. Kripya dekhein."
426,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
548,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe ek aadmi ne blackmail kiya hai. Usne meri private photos ko leak karne ki dhamki di hai. Uska number hai 9988776655. Kripya meri madad karein."
1044,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Ek unknown number se mujhe baar baar call aa raha hai aur voh mujhe gandi galiyaan de raha hai. Main samajh nahi paa raha ki yeh kaun hai. Kripya meri madad karein.
1445,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek aadmi ne call kiya aur mujhe meri private photos bhejne ke liye keh raha hai. Agar nahi bheji toh wo mujhe blackmail karne ki dhamki de raha hai. Please iski jaanch karein.
1245,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek dost ne mujhe ek company ka link diya tha jahan mujhe investment karna tha. Maine paise bheje, lekin ab mujhe samajh aaya ki yeh sab dhoka hai. Please meri madad karein."
1024,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek unknown number se baar baar call aa raha hai aur voh mujhe gandi galiyaan de raha hai. Maine unhe block kar diya hai lekin phir bhi naye numbers se call aa rahe hain. Kripya meri madad karein.
159,Ransomware,Ransomware,"My system was attacked by ransomware, and all my files are now locked. The hackers left a note asking for a ransom in cryptocurrency. I am very anxious about this situation and need help to retrieve my files."
370,Online and Social Media Related Crime,EMail Phishing,"I received a phishing email that looked like it was from my internet service provider. They wanted my account number and password. I didn’t respond, but I’m worried."
51,Report Unlawful Content,Against Interest of sovereignty or integrity of India,There is a post on Instagram by a user named Priya Singh that contains derogatory remarks about our country and its leaders. She is spreading false information about the Indian government. Kindly investigate this matter.
945,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki mera bank account hack ho gaya hai. Ab wo log mujhe paise bhejne ke liye keh rahe hain, warna mere contacts ko bata denge. Main bahut pareshan hoon!"
1160,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID hack ho gaya hai, aur ab mujhe access nahi mil raha. Mujhe dar hai ki mere bank details bhi leak ho gaye hain. Kripya meri madad karein."
1247,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek WhatsApp message aaya tha jismein bola gaya tha ki mujhe ek online business mein invest karna hai. Maine paise bheje, par ab unka koi response nahi aa raha. Yeh log bahut dhokebaaz hain."
408,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1061,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Kisi ne mujhe WhatsApp par message bheja hai, keh rahe hain agar maine unki baat nahi maani toh meri photos share kar denge. Main bahut pareshan hoon."
564,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mujhe lagta hai ki mere email account ko hack kar liya gaya hai. Koi unknown log mere naam se spam bhej rahe hain. Please help me secure it.
611,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek message aaya tha jisme bola gaya tha ki mujhe apna password reset karna hai. Maine kiya aur ab mera account hack ho gaya hai.
421,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
220,Online and Social Media Related Crime,Intimidating Email,I am being harassed by someone sending me emails with false accusations. They are using my personal information and threatening to share it. The email ID is harasser456@xyz.com. I need help!
368,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email aayi thi jo bank se lag rahi thi, unhone mere account details maange. Maine ignore kiya, par mujhe dar hai ki koi aur isme phas jaaye."
854,Online Cyber Trafficking,Online Trafficking,"I received a fake job offer via email, and they are asking for my bank details to process my salary. I suspect it’s a scam. Please help me report this!"
403,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
67,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Maine YouTube par ek video dekha jisme kuch log Bharat ko chhote chhote rajyon mein baantne ki baat kar rahe hain. Kripya is par dhyan dein.
583,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek email mila jisme bola gaya ki mere computer ko hack kiya gaya hai. Main bahut dar gaya hoon, please help me."
143,Ransomware,Ransomware,"Mera phone ransomware se attack hua hai aur sabhi photos aur videos encrypt ho gaye hain. Mujhe unhe wapas chahiye, lekin hackers ne mujhe payment karne ke liye bola hai. Kya aap kuch kar sakte hain?"
1450,Child Pornography CPChild Sexual Abuse Material CSAM,,I received a message from an unknown number asking for my private photos. They threatened to share them online if I didn't comply. Please help me with this issue.
1418,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe WhatsApp par har roz message karke meri private photos maang raha hai. Agar nahi di toh wo mujhe dhamki de raha hai. Yeh bahut serious hai, please help."
32,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"There is a Facebook group called ""Separatists Unite"" where members are discussing ways to divide our country. The content shared there is very dangerous. I urge you to take action against this group."
424,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1205,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek company ne mujhe email kiya tha ki mujhe unke saath business karna hai. Maine unhe paise bheje, lekin ab unka email band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain."
552,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"I was using an app for online shopping, and now my computer is infected with a virus. It keeps crashing, and I can't access my important files. Please take action."
815,Online Cyber Trafficking,Online Trafficking,Ek aadmi mujhe call karke keh raha tha ki wo mera bank account verify karna chahta hai. Usne mere personal details maange hain.
340,Online and Social Media Related Crime,EMail Phishing,"Sir, I received a WhatsApp message from an unknown number claiming to be a family member in trouble. They asked for money urgently. I think it’s a phishing scam."
890,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se call aaya tha, unhone kaha ki mujhe loan mila hai aur unhone mere bank details maange. Ab wo mujhe paise dene ke liye dhamki de rahe hain. Kya karun?"
465,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek email aayi thi jisme kisi ne mere manager ka naam use kiya. Usne mujhe bola ki mujhe paise transfer karne hain. Jab maine apne manager se baat ki, toh pata chala ki usne mujhe email nahi kiya tha."
1282,Online Financial Fraud,Business Email CompromiseEmail Takeover,Mujhe ek online store se kuch saman order kiya tha aur maine advance payment ki thi. Lekin unhone mujhe kuch nahi bheja. Kripya mujhe is fraud ke khilaf report karne mein madad karein.
1428,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe Facebook par har waqt harass kar raha hai aur keh raha hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
1335,Online Gambling  Betting,Online Gambling  Betting,"Kuch log mujhe call karke keh rahe hain ki main agar unhe paise doon toh mujhe lottery jeetne ka chance milega. Maine unhe apni details di thi, ab mujhe dar lag raha hai."
1019,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek Facebook link mila jisme mere photo ke sath badtameezi ki gayi hai. Yeh sab social media par faila rahe hain. Main bahut pareshan hoon.
477,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek email aayi thi jisme kisi ne mere boss ka naam use kiya. Usne mujhe bola ki mujhe turant paise transfer karne hain. Jab maine apne boss se baat ki, toh pata chala ki usne mujhe email nahi kiya tha."
761,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, main ek matrimony app par ladki se baat kar raha tha. Usne bola ki uska passport khatam ho gaya hai aur usse paise chahiye. Maine 20,000 bheje, ab mujhe lagta hai ki ye fraud hai. Kripya kuch karein."
33,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I saw a post on LinkedIn by a user named Arjun Mehta who is promoting anti-India sentiments and encouraging people to protest against our government. This is not acceptable. Please investigate this matter.
1171,Hacking  Damage to computercomputer system etc,Email Hacking,"I received a strange email from my own account, and now I think someone has hacked it. They might have accessed my personal information. I need assistance to secure my account again."
5,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I received a forwarded message on WhatsApp from a number that claims to be from a news agency. It contains false news about our military operations and is trying to create panic among citizens. Please investigate this.
127,Ransomware,Ransomware,"Mere computer par ransomware ne attack kiya hai aur sabhi files ab inaccessible hain. Mujhe bahut zaroori documents chahiye, lekin main unhe recover nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
302,Online and Social Media Related Crime,EMail Phishing,My friend received an email from someone pretending to be a job recruiter. They asked for personal details and a fee for processing. I feel this is a phishing scam.
377,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek WhatsApp message aaya tha jisme bola gaya tha ki mujhe ek job offer mila hai. Unhone mere personal details maange, mujhe laga yeh scam hai."
135,Ransomware,Ransomware,"Mere laptop par ransomware ne attack kiya hai aur sabhi files encrypt ho gaye hain. Mujhe bahut zaroori data chahiye, lekin main unhe recover nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
1468,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe social media par harass kar raha hai, keh raha hai ki uske paas meri private photos hain. Woh paisa maang raha hai, mujhe isse rokne mein madad chahiye."
647,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek link mila tha jo mere dost ne bheja tha. Us par click karte hi mera Facebook account hack ho gaya. Ab main kya karoon?
841,Online Cyber Trafficking,Online Trafficking,Mujhe ek SMS aaya tha jisme bola gaya ki mujhe apne UPI ID ko verify karna hai. Main isse lekar bahut pareshan hoon.
445,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
